Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-03-23 10:30:06.839000,658,0,15,0,-568,0,-617,0,7,0,430,0,-453,0,231,0,1473,0,23,0,622,0,20,0,1022,0,337,0,5,6,?
2017-03-23 10:30:06.840000,582,0,10,0,-549,0,-596,0,140,0,470,0,-469,0,234,0,1475,0,37,0,592,0,-12,0,963,0,332,0,5,5,?
2017-03-23 10:30:06.841000,607,0,26,0,-560,0,-592,0,69,0,472,0,-471,0,244,0,1474,0,5,0,542,0,-34,0,960,0,384,0,4,3,?
2017-03-23 10:30:06.842000,524,0,15,0,-553,0,-586,0,85,0,472,0,-495,0,220,0,1463,0,22,0,498,0,-13,0,981,0,451,0,3,1,?
2017-03-23 10:30:06.843000,527,0,12,0,-548,0,-590,0,66,0,480,0,-442,0,219,0,1486,0,23,0,505,0,-15,0,1025,0,427,0,2,-1,?
2017-03-23 10:30:06.844000,591,0,-1,0,-569,0,-607,0,187,0,454,0,-401,0,231,0,1500,0,11,0,521,0,-26,0,996,0,387,0,2,-4,?
2017-03-23 10:30:06.845000,593,0,-7,0,-550,0,-578,0,91,0,485,0,-421,0,223,0,1482,0,8,0,498,0,-25,0,931,0,425,0,1,-4,?
2017-03-23 10:30:06.846000,680,0,13,0,-565,0,-610,0,-143,0,449,0,-397,0,235,0,1497,0,24,0,558,0,-16,0,1031,0,386,0,1,-5,?
2017-03-23 10:30:06.847000,714,0,3996,0,-2045,0,3143,0,-6927,0,490,0,-1154,0,2656,0,-7644,0,3907,0,6317,0,7161,0,7416,0,6753,0,61,-46,?
2017-03-23 10:30:06.855000,714,0,3996,0,-2045,0,3143,0,-6927,0,490,0,-1154,0,2656,0,-7644,0,3907,0,6317,0,7161,0,7416,0,6753,0,61,-46,?
2017-03-23 10:30:06.863000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2,?
2017-03-23 10:30:06.870000,-4,0,-1,24,0,0,0,0,8,0,-1,0,-4,0,-3,0,-4,0,-2,0,-3,0,-2,0,-4,0,-2,0,3,-2,?
2017-03-23 10:30:06.877000,-47,0,-15,24,4,0,9,0,113,0,-28,0,-41,0,-36,0,-51,0,-24,0,-34,0,-22,0,-54,0,-25,0,3,-2,?
