Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-03-27 15:03:42.849000,738,0,-58,0,-631,0,-608,0,143,0,711,0,-296,0,-188,0,-6937,0,-549,0,425,0,818,0,190,0,256,0,3,-2,?
2017-03-27 15:03:42.858000,751,0,-72,0,-596,0,-613,0,166,0,727,0,-272,0,-138,0,-6937,0,-537,0,441,0,780,0,187,0,262,0,2,-2,?
2017-03-27 15:03:42.865000,685,0,-72,0,-647,0,-648,0,102,0,680,0,-332,0,-201,0,-6937,0,-584,0,369,0,739,0,136,0,193,0,2,-2,?
2017-03-27 15:03:42.873000,687,0,-64,0,-636,0,-606,0,95,0,672,0,-332,0,-230,0,-6937,0,-568,0,360,0,687,0,145,0,179,0,2,-2,?
2017-03-27 15:03:42.880000,751,6784,-66,0,-568,0,-576,0,184,0,724,0,-269,0,-143,0,-6937,0,-497,0,430,0,572,0,194,0,222,0,2,-2,?
2017-03-27 15:03:42.888000,708,6784,-73,1248,-606,0,-623,0,183,0,708,0,-290,0,-139,0,-6937,0,-527,0,406,0,451,0,163,0,172,0,2,-3,?
2017-03-27 15:03:42.896000,636,6784,-78,1248,-666,0,-635,0,101,0,641,0,-340,0,-240,0,-6937,0,-600,0,329,0,412,0,112,0,98,6376,2,-3,?
2017-03-27 15:03:42.904000,704,6784,-55,1248,-600,432,-574,0,141,0,666,0,-304,0,-231,0,-6937,0,-558,0,364,0,444,0,163,0,154,6376,2,-3,?
2017-03-27 15:03:42.912000,763,6784,-62,1248,-565,432,-576,7136,181,0,696,0,-277,0,-156,0,-6937,0,-512,0,413,0,455,0,199,0,193,6376,2,-3,?
2017-03-27 15:03:42.919000,704,6784,-80,1248,-646,432,-622,7136,97,1192,625,0,-334,0,-190,0,-6937,0,-573,0,355,0,410,0,151,0,123,6376,2,-3,?
2017-03-27 15:03:42.927000,719,6784,-58,1248,-619,432,-579,7136,135,1192,646,784,-331,0,-226,0,-6937,0,-568,0,355,0,408,0,161,0,136,6376,2,-3,?
2017-03-27 15:03:42.935000,796,6784,-59,1248,-524,432,-533,7136,271,1192,763,784,-253,6424,-150,0,-6937,0,-485,0,444,0,455,0,212,0,220,6376,2,-3,?
2017-03-27 15:03:42.943000,722,6784,-81,1248,-611,432,-598,7136,208,1192,722,784,-286,6424,-166,6480,-6937,0,-535,0,396,0,386,0,145,0,159,6376,2,-3,?
2017-03-27 15:03:42.951000,610,6784,-81,1248,-730,432,-637,7136,47,1192,624,784,-371,6424,-285,6480,-6937,7520,-635,0,278,0,297,0,62,0,47,6376,2,-4,?
2017-03-27 15:03:42.959000,686,6784,-30,1248,-642,432,-568,7136,74,1192,690,784,-323,6424,-242,6480,-6937,7520,-566,752,327,0,336,0,122,0,108,6376,2,-4,?
2017-03-27 15:03:42.967000,711,6784,-107,1248,-595,432,-569,7136,133,1192,709,784,-291,6424,-186,6480,-6937,7520,-508,752,378,8136,235,0,157,0,136,6376,3,-4,?
2017-03-27 15:03:42.974000,622,6784,-111,1248,-689,432,-604,7136,111,1192,624,784,-373,6424,-276,6480,-6937,7520,-592,752,310,8136,-7,4640,122,0,75,6376,3,-3,?
2017-03-27 15:03:42.983000,688,6784,86,1248,-669,432,-576,7136,130,1192,651,784,-393,6424,-320,6480,-6937,7520,-601,752,305,8136,-52,4640,109,5368,126,6376,3,-3,?
2017-03-27 15:03:42.991000,715,6784,-133,1248,-585,432,-570,7136,175,1192,724,784,-334,6424,-226,6480,-6937,7520,-504,736,383,8136,75,4640,141,5368,123,6376,3,-3,?
2017-03-27 15:03:42.999000,631,6784,-231,1248,-633,432,-603,7136,130,1192,688,784,-334,6424,-203,6480,-6937,7520,-518,736,356,8128,45,4640,173,5368,72,6376,3,-3,?
2017-03-27 15:03:43.005000,629,6784,45,1248,-701,432,-624,7136,68,1192,639,784,-386,6424,-303,6480,-6937,7520,-607,736,263,8128,-92,4640,116,5368,80,6376,4,-3,?
2017-03-27 15:03:43.014000,673,6784,-52,1248,-610,432,-586,7136,130,1192,686,784,-369,6424,-301,6480,-6937,7520,-575,736,320,8128,-23,4640,143,5368,98,6376,4,-3,?
2017-03-27 15:03:43.023000,691,6784,-115,1248,-555,432,-575,7136,148,1192,703,784,-345,6424,-248,6480,-6937,7520,-550,736,360,8128,27,4640,200,5368,124,6376,4,-2,?
2017-03-27 15:03:43.029000,654,6784,-42,1248,-624,432,-619,7136,112,1192,657,784,-381,6424,-258,6480,-6937,7520,-584,736,287,8128,-56,4640,144,5368,91,6376,4,-2,?
2017-03-27 15:03:43.038000,648,6784,-75,1248,-628,432,-605,7136,140,1192,663,784,-389,6424,-272,6480,-6937,7520,-554,736,292,8128,-34,4640,160,5368,81,6376,4,-2,?
2017-03-27 15:03:43.045000,675,6784,-61,1248,-607,432,-568,7136,118,1192,671,784,-369,6424,-257,6480,-6937,7520,-544,736,319,8128,8,4640,191,5368,112,6376,4,-1,?
2017-03-27 15:03:43.054000,674,6784,-70,1248,-602,432,-565,7136,95,1192,669,784,-353,6424,-223,6480,-6937,7520,-542,736,319,8128,5,4640,175,5368,111,6376,4,-1,?
2017-03-27 15:03:43.061000,700,6784,-62,1248,-567,432,-570,7136,161,1192,702,784,-337,6424,-216,6480,-6937,7520,-501,736,349,8128,34,4640,203,5368,133,6376,3,-1,?
2017-03-27 15:03:43.069000,698,6784,-65,1248,-572,432,-578,7136,186,1192,702,784,-351,6424,-234,6480,-6937,7520,-509,736,349,8128,42,4640,188,5368,127,6376,3,-1,?
2017-03-27 15:03:43.076000,639,6784,-83,1248,-629,432,-596,7136,118,1192,651,784,-389,6424,-246,6480,-6937,7520,-577,736,288,8128,-14,4640,118,5368,67,6376,3,-1,?
2017-03-27 15:03:43.084000,659,6784,-70,1248,-597,432,-588,7136,128,1192,669,784,-366,6424,-237,6480,-6937,7520,-568,736,296,8128,-27,4640,132,5368,77,6376,3,-1,?
